step    38 | loss: 0.0022 | pg: 0.0020 | kl: 0.0004 | clip: 0.006 | reward: -2.4852 | lr: 2.60e-07 | norm: 0.605 | dt: 394124ms
step    39 | loss: 0.0702 | pg: 0.0701 | kl: 0.0003 | clip: 0.007 | reward: -2.2042 | lr: 2.67e-07 | norm: 0.658 | dt: 291719ms
step    40 | loss: 0.0234 | pg: 0.0233 | kl: 0.0003 | clip: 0.007 | reward: -2.5630 | lr: 2.73e-07 | norm: 0.528 | dt: 244917ms
step    41 | loss: 0.0615 | pg: 0.0614 | kl: 0.0003 | clip: 0.008 | reward: -3.5513 | lr: 2.80e-07 | norm: 0.485 | dt: 223514ms
step    42 | loss: 0.0027 | pg: 0.0026 | kl: 0.0003 | clip: 0.005 | reward: -3.3744 | lr: 2.87e-07 | norm: 0.526 | dt: 272739ms
step    43 | loss: 0.0025 | pg: 0.0024 | kl: 0.0001 | clip: 0.004 | reward: -2.6807 | lr: 2.93e-07 | norm: 0.340 | dt: 190903ms
step    44 | loss: 0.0192 | pg: 0.0190 | kl: 0.0004 | clip: 0.008 | reward: -3.9918 | lr: 3.00e-07 | norm: 0.569 | dt: 295246ms
step    45 | loss: 0.0214 | pg: 0.0212 | kl: 0.0004 | clip: 0.005 | reward: -3.9735 | lr: 3.07e-07 | norm: 0.584 | dt: 332033ms
step    46 | loss: 0.1145 | pg: 0.1143 | kl: 0.0004 | clip: 0.006 | reward: -3.7007 | lr: 3.13e-07 | norm: 0.613 | dt: 298738ms
step    47 | loss: 0.0443 | pg: 0.0443 | kl: 0.0002 | clip: 0.004 | reward: -2.4606 | lr: 3.20e-07 | norm: 0.351 | dt: 112373ms
step    48 | loss: 0.0506 | pg: 0.0504 | kl: 0.0004 | clip: 0.010 | reward: -2.2695 | lr: 3.27e-07 | norm: 0.671 | dt: 284547ms
step    49 | loss: 0.0048 | pg: 0.0047 | kl: 0.0003 | clip: 0.008 | reward: -2.5707 | lr: 3.33e-07 | norm: 0.452 | dt: 214505ms
step    50 | loss: 0.0825 | pg: 0.0823 | kl: 0.0005 | clip: 0.011 | reward: -2.7307 | lr: 3.40e-07 | norm: 0.511 | dt: 240274ms
step    51 | loss: 0.0239 | pg: 0.0237 | kl: 0.0003 | clip: 0.008 | reward: -1.4701 | lr: 3.47e-07 | norm: 0.472 | dt: 327721ms
step    52 | loss: 0.0609 | pg: 0.0608 | kl: 0.0004 | clip: 0.006 | reward: -4.0302 | lr: 3.53e-07 | norm: 0.445 | dt: 279766ms
step    53 | loss: -0.0096 | pg: -0.0097 | kl: 0.0004 | clip: 0.004 | reward: -3.2113 | lr: 3.60e-07 | norm: 0.506 | dt: 226894ms
step    54 | loss: -0.0014 | pg: -0.0016 | kl: 0.0005 | clip: 0.009 | reward: -2.4974 | lr: 3.67e-07 | norm: 0.564 | dt: 278359ms
step    55 | loss: 0.0716 | pg: 0.0714 | kl: 0.0006 | clip: 0.006 | reward: -3.3850 | lr: 3.73e-07 | norm: 0.654 | dt: 328206ms
step    56 | loss: 0.0318 | pg: 0.0317 | kl: 0.0004 | clip: 0.006 | reward: -3.4146 | lr: 3.80e-07 | norm: 0.446 | dt: 186238ms
step    57 | loss: 0.0909 | pg: 0.0905 | kl: 0.0008 | clip: 0.006 | reward: -3.9582 | lr: 3.87e-07 | norm: 0.549 | dt: 215272ms
step    58 | loss: -0.0182 | pg: -0.0184 | kl: 0.0004 | clip: 0.011 | reward: -2.1846 | lr: 3.93e-07 | norm: 0.520 | dt: 201542ms
step    59 | loss: -0.0395 | pg: -0.0397 | kl: 0.0005 | clip: 0.006 | reward: -3.5245 | lr: 4.00e-07 | norm: 0.563 | dt: 280851ms
step    60 | loss: 0.0388 | pg: 0.0387 | kl: 0.0002 | clip: 0.005 | reward: -2.9363 | lr: 4.07e-07 | norm: 0.344 | dt: 112178ms
step    61 | loss: -0.0040 | pg: -0.0040 | kl: 0.0001 | clip: 0.004 | reward: -3.1844 | lr: 4.13e-07 | norm: 0.363 | dt: 164147ms
step    62 | loss: 0.0564 | pg: 0.0562 | kl: 0.0004 | clip: 0.006 | reward: -3.6385 | lr: 4.20e-07 | norm: 0.404 | dt: 307598ms
step    63 | loss: -0.0221 | pg: -0.0223 | kl: 0.0006 | clip: 0.007 | reward: -4.5807 | lr: 4.27e-07 | norm: 0.608 | dt: 279839ms
step    64 | loss: 0.0294 | pg: 0.0292 | kl: 0.0005 | clip: 0.005 | reward: -2.7244 | lr: 4.33e-07 | norm: 0.490 | dt: 280606ms
step    65 | loss: 0.0856 | pg: 0.0854 | kl: 0.0006 | clip: 0.008 | reward: -3.4344 | lr: 4.40e-07 | norm: 0.485 | dt: 278204ms
step    66 | loss: 0.0601 | pg: 0.0598 | kl: 0.0006 | clip: 0.006 | reward: -3.6748 | lr: 4.47e-07 | norm: 0.637 | dt: 365528ms
step    67 | loss: 0.0438 | pg: 0.0436 | kl: 0.0005 | clip: 0.008 | reward: -3.1814 | lr: 4.53e-07 | norm: 0.508 | dt: 181741ms
step    68 | loss: 0.0203 | pg: 0.0202 | kl: 0.0003 | clip: 0.009 | reward: -3.0987 | lr: 4.60e-07 | norm: 0.456 | dt: 133371ms
step    69 | loss: 0.0915 | pg: 0.0912 | kl: 0.0007 | clip: 0.006 | reward: -2.6855 | lr: 4.67e-07 | norm: 0.609 | dt: 368211ms
step    70 | loss: 0.0268 | pg: 0.0264 | kl: 0.0010 | clip: 0.009 | reward: -1.8191 | lr: 4.73e-07 | norm: 0.691 | dt: 373646ms
step    71 | loss: 0.0194 | pg: 0.0192 | kl: 0.0005 | clip: 0.009 | reward: -2.7582 | lr: 4.80e-07 | norm: 0.424 | dt: 189688ms
step    72 | loss: 0.0309 | pg: 0.0307 | kl: 0.0006 | clip: 0.007 | reward: 0.1523 | lr: 4.87e-07 | norm: 0.623 | dt: 220183ms
step    73 | loss: 0.0370 | pg: 0.0368 | kl: 0.0005 | clip: 0.008 | reward: -3.4958 | lr: 4.93e-07 | norm: 0.506 | dt: 213217ms
step    74 | loss: 0.0093 | pg: 0.0091 | kl: 0.0005 | clip: 0.006 | reward: -0.6282 | lr: 5.00e-07 | norm: 0.492 | dt: 172493ms
step    75 | loss: 0.0109 | pg: 0.0107 | kl: 0.0006 | clip: 0.004 | reward: -3.5486 | lr: 5.07e-07 | norm: 0.549 | dt: 284792ms
step    76 | loss: 0.0620 | pg: 0.0618 | kl: 0.0004 | clip: 0.006 | reward: -2.5504 | lr: 5.13e-07 | norm: 0.383 | dt: 233027ms
step    77 | loss: 0.0375 | pg: 0.0372 | kl: 0.0006 | clip: 0.005 | reward: -2.6823 | lr: 5.20e-07 | norm: 0.582 | dt: 328676ms
step    78 | loss: -0.0027 | pg: -0.0031 | kl: 0.0009 | clip: 0.008 | reward: -2.6851 | lr: 5.27e-07 | norm: 0.622 | dt: 287831ms
step    79 | loss: -0.0029 | pg: -0.0032 | kl: 0.0007 | clip: 0.006 | reward: -1.6375 | lr: 5.33e-07 | norm: 0.623 | dt: 287076ms
step    80 | loss: 0.0346 | pg: 0.0342 | kl: 0.0010 | clip: 0.008 | reward: -3.8504 | lr: 5.40e-07 | norm: 0.660 | dt: 306013ms
step    81 | loss: -0.0396 | pg: -0.0397 | kl: 0.0004 | clip: 0.004 | reward: -1.9323 | lr: 5.47e-07 | norm: 0.349 | dt: 103459ms
step    82 | loss: 0.0759 | pg: 0.0753 | kl: 0.0014 | clip: 0.007 | reward: -1.0301 | lr: 5.53e-07 | norm: 0.741 | dt: 382779ms
step    83 | loss: 0.0366 | pg: 0.0363 | kl: 0.0006 | clip: 0.008 | reward: -2.0892 | lr: 5.60e-07 | norm: 0.520 | dt: 187779ms
step    84 | loss: 0.0679 | pg: 0.0675 | kl: 0.0012 | clip: 0.008 | reward: -2.4695 | lr: 5.67e-07 | norm: 0.440 | dt: 213496ms
step    85 | loss: 0.0559 | pg: 0.0558 | kl: 0.0004 | clip: 0.010 | reward: -1.3391 | lr: 5.73e-07 | norm: 0.458 | dt: 199234ms
step    86 | loss: 0.0698 | pg: 0.0696 | kl: 0.0006 | clip: 0.005 | reward: -1.9732 | lr: 5.80e-07 | norm: 0.474 | dt: 188863ms
step    87 | loss: 0.0720 | pg: 0.0716 | kl: 0.0010 | clip: 0.007 | reward: -2.5891 | lr: 5.87e-07 | norm: 0.648 | dt: 336441ms
step    88 | loss: -0.0130 | pg: -0.0132 | kl: 0.0006 | clip: 0.007 | reward: -2.4281 | lr: 5.93e-07 | norm: 0.431 | dt: 284030ms
step    89 | loss: 0.0214 | pg: 0.0209 | kl: 0.0012 | clip: 0.005 | reward: -2.0598 | lr: 6.00e-07 | norm: 1.360 | dt: 275568ms
step    90 | loss: 0.0478 | pg: 0.0473 | kl: 0.0013 | clip: 0.009 | reward: -2.9233 | lr: 6.07e-07 | norm: 0.614 | dt: 310413ms
step    91 | loss: 0.0249 | pg: 0.0246 | kl: 0.0008 | clip: 0.009 | reward: -1.1556 | lr: 6.13e-07 | norm: 0.439 | dt: 141850ms
step    92 | loss: 0.0484 | pg: 0.0481 | kl: 0.0006 | clip: 0.007 | reward: -2.2960 | lr: 6.20e-07 | norm: 0.377 | dt: 174568ms
step    93 | loss: 0.0240 | pg: 0.0237 | kl: 0.0009 | clip: 0.009 | reward: -3.2671 | lr: 6.27e-07 | norm: 0.404 | dt: 226108ms
step    94 | loss: 0.0431 | pg: 0.0427 | kl: 0.0011 | clip: 0.006 | reward: -1.6574 | lr: 6.33e-07 | norm: 0.592 | dt: 236703ms
step    95 | loss: 0.0181 | pg: 0.0179 | kl: 0.0006 | clip: 0.007 | reward: -2.6768 | lr: 6.40e-07 | norm: 0.443 | dt: 131405ms
step    96 | loss: 0.0463 | pg: 0.0457 | kl: 0.0013 | clip: 0.006 | reward: -2.9303 | lr: 6.47e-07 | norm: 0.558 | dt: 259370ms
step    97 | loss: 0.0602 | pg: 0.0595 | kl: 0.0018 | clip: 0.010 | reward: -3.3213 | lr: 6.53e-07 | norm: 0.628 | dt: 377088ms
step    98 | loss: 0.0348 | pg: 0.0344 | kl: 0.0010 | clip: 0.005 | reward: -2.8059 | lr: 6.60e-07 | norm: 0.451 | dt: 206298ms
step    99 | loss: 0.0142 | pg: 0.0139 | kl: 0.0007 | clip: 0.004 | reward: -2.2532 | lr: 6.67e-07 | norm: 0.426 | dt: 251094ms
step   100 | loss: 0.0606 | pg: 0.0600 | kl: 0.0015 | clip: 0.008 | reward: -3.2768 | lr: 6.73e-07 | norm: 0.516 | dt: 239625ms
step   101 | loss: -0.0049 | pg: -0.0053 | kl: 0.0010 | clip: 0.008 | reward: -1.3299 | lr: 6.80e-07 | norm: 0.496 | dt: 332485ms
step   102 | loss: 0.0006 | pg: 0.0001 | kl: 0.0012 | clip: 0.007 | reward: -1.9075 | lr: 6.87e-07 | norm: 0.534 | dt: 291575ms
step   103 | loss: 0.0099 | pg: 0.0096 | kl: 0.0008 | clip: 0.009 | reward: -2.7415 | lr: 6.93e-07 | norm: 0.397 | dt: 178217ms
step   104 | loss: 0.0108 | pg: 0.0106 | kl: 0.0007 | clip: 0.008 | reward: -2.7229 | lr: 7.00e-07 | norm: 0.426 | dt: 102720ms
step   105 | loss: 0.0778 | pg: 0.0772 | kl: 0.0015 | clip: 0.008 | reward: -2.2452 | lr: 7.07e-07 | norm: 0.698 | dt: 432912ms
step   106 | loss: 0.0144 | pg: 0.0139 | kl: 0.0013 | clip: 0.009 | reward: -2.5045 | lr: 7.13e-07 | norm: 0.603 | dt: 352036ms
step   107 | loss: 0.0717 | pg: 0.0714 | kl: 0.0009 | clip: 0.008 | reward: -2.2278 | lr: 7.20e-07 | norm: 0.446 | dt: 214035ms
step   108 | loss: 0.0283 | pg: 0.0278 | kl: 0.0014 | clip: 0.008 | reward: -1.7381 | lr: 7.27e-07 | norm: 0.598 | dt: 307212ms
step   109 | loss: 0.0137 | pg: 0.0133 | kl: 0.0011 | clip: 0.007 | reward: -1.8099 | lr: 7.33e-07 | norm: 0.386 | dt: 151478ms
step   110 | loss: 0.0006 | pg: -0.0001 | kl: 0.0017 | clip: 0.007 | reward: -1.2516 | lr: 7.40e-07 | norm: 0.660 | dt: 367723ms
step   111 | loss: 0.0489 | pg: 0.0484 | kl: 0.0011 | clip: 0.011 | reward: -1.8665 | lr: 7.47e-07 | norm: 0.501 | dt: 211965ms
step   112 | loss: 0.0126 | pg: 0.0119 | kl: 0.0019 | clip: 0.008 | reward: -3.3247 | lr: 7.53e-07 | norm: 0.490 | dt: 281213ms
step   113 | loss: 0.0998 | pg: 0.0994 | kl: 0.0010 | clip: 0.006 | reward: -1.2526 | lr: 7.60e-07 | norm: 0.498 | dt: 221908ms
step   114 | loss: 0.0083 | pg: 0.0079 | kl: 0.0012 | clip: 0.009 | reward: -1.2065 | lr: 7.67e-07 | norm: 0.553 | dt: 272073ms
step   115 | loss: 0.0040 | pg: 0.0036 | kl: 0.0010 | clip: 0.006 | reward: -1.8832 | lr: 7.73e-07 | norm: 0.534 | dt: 195591ms
